value,category
3.5,A
4.1,A
4.8,A
5.2,A
5.5,A
5.9,A
6.1,B
6.2,B
6.3,B
6.4,B
6.5,B
6.6,B
6.7,B
6.8,B
6.9,B
7.0,B
7.1,B
7.2,B
7.3,B
7.4,B
7.5,B
7.6,B
7.7,B
7.8,B
7.9,B
8.0,C
8.1,C
8.2,C
8.3,C
8.4,C
8.5,C
8.6,C
8.7,C
8.8,C
8.9,C
9.0,C
9.1,C
9.2,C
9.3,C
9.4,C
9.5,C
9.6,C
9.7,C
9.8,C
9.9,C
10.0,C
10.1,C
10.2,C
10.3,C
10.4,C
10.5,C
10.6,C
10.7,C
10.8,C
10.9,C
11.0,C
11.1,C
11.2,C
11.3,C
11.4,C
11.5,C
11.6,C
11.7,C
11.8,C
11.9,C
12.0,D
12.2,D
12.4,D
12.6,D
12.8,D
13.0,D
13.2,D
13.4,D
13.6,D
13.8,D
14.0,D
14.5,D
15.0,E
15.5,E
16.0,E
16.5,E
17.0,E
17.5,E
18.0,E
18.2,E
